Job_index,Index,Smi_equal,Xyz,Opt_Xyz,Chrg,Spin,SMI,SMI_Opt
1,1,True,189.xyz,189-opt.xyz,0,1,[H]OCl,[H]OCl
1,2,True,199.xyz,199-opt.xyz,0,1,[H]OCl,[H]OCl
1,3,True,209.xyz,209-opt.xyz,0,1,[H]OCl,[H]OCl
1,4,False,229.xyz,229-opt.xyz,0,1,Cl.[H]O,[H]OCl
1,5,True,239.xyz,239-opt.xyz,0,1,Cl.[H]O,Cl.[H]O
1,6,False,249.xyz,249-opt.xyz,0,1,Cl.[H]O,[H]OCl
2,1,False,499.xyz,499-opt.xyz,0,2,[H]O.[H]OCl,OCl.[H]O[H]
2,2,False,509.xyz,509-opt.xyz,0,2,[H]O.[H]OCl,OCl.[H]O[H]
2,3,False,519.xyz,519-opt.xyz,0,2,[H]O.[H]OCl,OCl.[H]O[H]
2,4,True,539.xyz,539-opt.xyz,0,2,OCl.[H]O[H],OCl.[H]O[H]
2,5,True,549.xyz,549-opt.xyz,0,2,OCl.[H]O[H],OCl.[H]O[H]
2,6,True,559.xyz,559-opt.xyz,0,2,OCl.[H]O[H],OCl.[H]O[H]
