,reaction,relation
0,[H]C1C([H])C(N([H])C(O)N([H])C2C([H])C([H])C(Cl)C(Cl)C2[H])C([H])C([H])C1Cl+[H]OCl->Cl+[H]C1C([H])C(NC(O)N([H])C2C([H])C([H])C(Cl)C(Cl)C2[H])C([H])C([H])C1Cl+[H]O[H],"[('[H][O][Cl]', '[H][O][H]'), ('[H][O][Cl]', '[Cl]'), ('[H][C]1[C]([H])[C]([N]([H])[C](=[O])[N]([H])[C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]', '[H][O][H]'), ('[H][C]1[C]([H])[C]([N]([H])[C](=[O])[N]([H])[C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]', '[H][C]1[C]([H])[C]([N][C](=[O])[N]([H])[C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]')]"
1,[H]C1C([H])C(NC(O)N([H])C2C([H])C([H])C(Cl)C(Cl)C2[H])C([H])C([H])C1Cl->Cl+[H]C1CC([H])C([H])C(NC(O)N([H])C2C([H])C(Cl)C(Cl)C([H])C2[H])C1[H],"[('[H][C]1=[C]([H])[C]([N][C](=[O])[N]([H])[C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]', '[H][C]1=[C][C]([H])[C]([H])[C]([N][C](=[O])[N]([H])[C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]1[H]'), ('[H][C]1=[C]([H])[C]([N][C](=[O])[N]([H])[C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]', '[Cl]')]"
2,Cl+[H]C1CC([H])C([H])C(NC(O)N([H])C2C([H])C(Cl)C(Cl)C([H])C2[H])C1[H]->[H]C1C([H])C(NC(O)N([H])C2C([H])C(Cl)C(Cl)C([H])C2[H])C([H])C([H])C1Cl,"[('[H][C]1=[C][C]([H])[C]([H])[C]([N][C]([O])[N]([H])[C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]1[H]', '[H][C]1=[C]([H])[C]([Cl])[C]([H])[C]([H])[C]1=[N][C](=[O])[N]([H])[C]1[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]1[H]'), ('[Cl]', '[H][C]1=[C]([H])[C]([Cl])[C]([H])[C]([H])[C]1=[N][C](=[O])[N]([H])[C]1[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]1[H]')]"
3,[H]OCl->Cl+[H]O,"[('[H][O][Cl]', '[H][O]'), ('[H][O][Cl]', '[Cl]')]"
4,[H]C1C([H])C(NC(O)N([H])C2C([H])C([H])C(Cl)C(Cl)C2[H])C([H])C([H])C1Cl->[H]C1C([H])C(NCO)C([H])C([H])C1Cl+[H]NC1C([H])C(Cl)C(Cl)C([H])C1[H],"[('[H][C]1=[C]([H])[C]([N][C](=[O])[N]([H])[C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]', '[H][N][C]1[C]([H])=[C]([H])[C]([Cl])[C]([Cl])[C]1[H]'), ('[H][C]1=[C]([H])[C]([N][C](=[O])[N]([H])[C]2[C]([H])[C]([H])[C]([Cl])[C]([Cl])[C]2[H])[C]([H])[C]([H])[C]1[Cl]', '[H][C]1[C]([H])[C]([N]=[C]=[O])[C]([H])[C]([H])[C]1[Cl]')]"
5,[H]C1C([H])C(NCO)C([H])C([H])C1Cl+[H]O->[H]OC(O)NC1C([H])C([H])C(Cl)C([H])C1[H],"[('[H][O]', '[H][O][C](=[O])[N][C]1[C]([H])=[C]([H])[C]([Cl])[C]([H])[C]1[H]'), ('[H][C]1=[C]([H])[C]([N]=[C]=[O])[C]([H])[C]([H])[C]1[Cl]', '[H][O][C](=[O])[N][C]1[C]([H])=[C]([H])[C]([Cl])[C]([H])[C]1[H]')]"
6,Cl+[H]OCl->ClCl+[H]O,"[('[H][O][Cl]', '[H][O]'), ('[H][O][Cl]', '[Cl]')]"
7,[H]NC1C([H])C([H])C(Cl)C(Cl)C1[H]+[H]O->[H]NC1CC([H])C(Cl)C(Cl)C1[H]+[H]O[H],"[('[H][O]', '[H][O][H]'), ('[H][N]=[C]1[C]([H])=[C]([Cl])[C]([Cl])[C]([H])[C]1[H]', '[H][O][H]'), ('[H][N]=[C]1[C]([H])=[C]([Cl])[C]([Cl])[C]([H])[C]1[H]', '[H][N]=[C]1[C]=[C]([H])[C]([Cl])[C]([Cl])=[C]1[H]')]"
8,Cl+Cl->ClCl,[]
9,[H]OCl->Cl+[H]O,"[('[H][O][Cl]', '[H][O]'), ('[H][O][Cl]', '[Cl]')]"
10,[H]NC1CC([H])C(Cl)C(Cl)C1[H]->[H]NCC1C([H])C(Cl)C(Cl)C1[H],"[('[H][N]=[C]1[C]=[C]([H])[C]([Cl])[C]([Cl])=[C]1[H]', '[H][N]=[C][C]1[C]([H])=[C]([Cl])[C]([Cl])[C]1[H]')]"
11,[H]NCC1C([H])C(Cl)C(Cl)C1[H]+[H]O->[H]ON([H])CC1C([H])C(Cl)C(Cl)C1[H],"[('[H][O]', '[H][O][N+]([H])=[C][C]1[C]([H])[C]([Cl])[C]([Cl])[C]1[H]'), ('[H][N]=[C][C]1[C]([H])[C]([Cl])[C]([Cl])[C]1[H]', '[H][O][N+]([H])=[C][C]1[C]([H])[C]([Cl])[C]([Cl])[C]1[H]')]"
12,Cl+[H]ON([H])CC1C([H])C(Cl)C(Cl)C1[H]->[H]Cl+[H]ONCC1C([H])C(Cl)C(Cl)C1[H],"[('[H][O][N+]([H])=[C][C]1[C]([H])[C]([Cl])[C]([Cl])[C]1[H]', '[H][O][N]=[C][C]1[C]([H])=[C]([Cl])[C]([Cl])[C]1[H]'), ('[H][O][N+]([H])=[C][C]1[C]([H])[C]([Cl])[C]([Cl])[C]1[H]', '[H][Cl]'), ('[Cl]', '[H][Cl]')]"
13,Cl+[H]ONCC1C([H])C(Cl)C(Cl)C1[H]->[H]C1C(Cl)C(Cl)C([H])C1CNO+[H]Cl,"[('[H][O][N]=[C][C]1[C]([H])[C]([Cl])[C]([Cl])[C]1[H]', '[H][C]1[C]([Cl])[C]([Cl])[C]([H])[C]1[C]=[N][O]'), ('[H][O][N]=[C][C]1[C]([H])[C]([Cl])[C]([Cl])[C]1[H]', '[H][Cl]'), ('[Cl]', '[H][Cl]')]"
14,Cl+Cl->ClCl,[]
15,[H]Cl+[H]OC(O)NC1C([H])C([H])C(Cl)C([H])C1[H]->Cl+[H]OC(NC1C([H])C([H])C(Cl)C([H])C1[H])O[H],"[('[H][Cl]', '[Cl-]'), ('[H][Cl]', '[H][O][C]([N][C]1[C]([H])[C]([H])[C]([Cl])[C]([H])[C]1[H])[O][H]'), ('[H][O][C]([O])[N][C]1[C]([H])=[C]([H])[C]([Cl])[C]([H])[C]1[H]', '[H][O][C]([N][C]1[C]([H])[C]([H])[C]([Cl])[C]([H])[C]1[H])[O][H]')]"
16,Cl+[H]OC(NC1C([H])C([H])C(Cl)C([H])C1[H])O[H]->[H]Cl+[H]OC(O)NC1C([H])C([H])C(Cl)C([H])C1[H],"[('[H][O][C](=[N][C]1[C]([H])[C]([H])[C]([Cl])[C]([H])[C]1[H])[O][H]', '[H][O][C](=[O])[N][C]1[C]([H])[C]([H])[C]([Cl])[C]([H])[C]1[H]'), ('[H][O][C](=[N][C]1[C]([H])[C]([H])[C]([Cl])[C]([H])[C]1[H])[O][H]', '[H][Cl]'), ('[Cl-]', '[H][Cl]')]"
17,Cl+[H]C1C(CNO)C([H])C(Cl)C1Cl->[H]C1C(C(Cl)NO)C([H])C(Cl)C1Cl,"[('[H][C]1[C]([Cl])[C]([Cl])[C]([H])[C]1[C]=[N][O]', '[H][C]1=[C]([Cl])[C]([Cl])[C]([H])[C]1[C]([Cl])=[N][O]'), ('[Cl]', '[H][C]1=[C]([Cl])[C]([Cl])[C]([H])[C]1[C]([Cl])=[N][O]')]"
18,[H]Cl+[H]OC(O)NC1C([H])C([H])C(Cl)C([H])C1[H]->Cl+[H]OC(NC1C([H])C([H])C(Cl)C([H])C1[H])O[H],"[('[H][O][C](=[O])[N][C]1[C]([H])[C]([H])[C]([Cl])[C]([H])[C]1[H]', '[H][O][C](=[N][C]1[C]([H])[C]([H])[C]([Cl])[C]([H])[C]1[H])[O][H]'), ('[H][Cl]', '[H][O][C](=[N][C]1[C]([H])[C]([H])[C]([Cl])[C]([H])[C]1[H])[O][H]'), ('[H][Cl]', '[Cl]')]"
19,[H]C1C(C(Cl)NO)C([H])C(Cl)C1Cl->Cl+[H]C1C(CNO)C([H])C(Cl)C1Cl,"[('[H][C]1=[C]([Cl])[C]([Cl])[C]([H])[C]1[C]([Cl])[N][O]', '[Cl]'), ('[H][C]1=[C]([Cl])[C]([Cl])[C]([H])[C]1[C]([Cl])[N][O]', '[H][C]1[C]([Cl])[C]([Cl])[C]([H])[C]1[C]=[N][O]')]"
20,Cl+[H]C1C(CNO)C([H])C(Cl)C1Cl->[H]C1C(CNO)C([H])(Cl)C(Cl)C1Cl,"[('[H][C]1[C]([Cl])[C]([Cl])[C]([H])[C]1[C]=[N][O]', '[H][C]1[C]([Cl])=[C]([Cl])[C]([H])([Cl])[C]1[C]=[N][O]'), ('[Cl]', '[H][C]1[C]([Cl])=[C]([Cl])[C]([H])([Cl])[C]1[C]=[N][O]')]"
